EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
1,1,2,3.1,-2.1161248,4.88,1036.55,-251.9,-415.46,767.05
1,1,1,3.1,1.0258044,5.16,1065.86,251.9,415.46,806.22
1,2,2,5.05,-2.115841563,7.96,1036.55,-251.9,-415.46,767.05
1,2,1,5.05,1.025742564,8.4,1065.86,251.9,415.46,806.22
1,3,2,8.85,-2.11582014,13.96,1036.55,-251.9,-415.46,767.05
1,3,1,8.85,1.02542418,14.68,1065.86,251.9,415.46,806.22
1,4,2,12.25,-2.1159169920000003,19.36,1036.55,-251.9,-415.46,767.05
1,4,1,12.25,1.025713619,20.32,1065.86,251.9,415.46,806.22
1,5,2,29.9,-2.11561176,47.24,1036.55,-251.9,-415.46,767.05
1,5,1,29.9,1.025568528,49.64,1065.86,251.9,415.46,806.22
1,6,2,37.1,-2.1156063570000003,58.6,1036.55,-251.9,-415.46,767.05
1,6,1,37.1,1.025498598,61.6,1065.86,251.9,415.46,806.22
1,7,2,44.3,-2.115597211,70.0,1036.55,-251.9,-415.46,767.05
1,7,1,44.3,1.0254487334,73.56,1065.86,251.9,415.46,806.22
1,8,2,51.4,-2.1155421378,81.2,1036.55,-251.9,-415.46,767.05
1,8,1,51.4,1.0254247457999999,85.36,1065.86,251.9,415.46,806.22
2,1,2,3.1,3.0435423,-8.28,845.29,-237.23,23.4,-638.51
2,1,1,3.1,-0.0983869,-3.96,632.29,237.23,-23.4,-304.9
2,2,2,5.05,3.043564326,-13.52,845.29,-237.23,23.4,-638.51
2,2,1,5.05,-0.09801980099999999,-6.48,632.29,237.23,-23.4,-304.9
2,3,2,8.85,3.043504164,-23.72,845.29,-237.23,23.4,-638.51
2,3,1,8.85,-0.09830512799999999,-11.32,632.29,237.23,-23.4,-304.9
2,4,2,12.25,3.043263328,-32.84,845.29,-237.23,23.4,-638.51
2,4,1,12.25,-0.098367283,-15.68,632.29,237.23,-23.4,-304.9
2,5,2,29.9,3.043615392,-80.2,845.29,-237.23,23.4,-638.51
2,5,1,29.9,-0.098702016,-38.36,632.29,237.23,-23.4,-304.9
2,6,2,37.1,3.0437788146,-99.56,845.29,-237.23,23.4,-638.51
2,6,1,37.1,-0.0987924476,-47.64,632.29,237.23,-23.4,-304.9
2,7,2,44.3,3.0438044545999996,-118.92,845.29,-237.23,23.4,-638.51
2,7,1,44.3,-0.09885322719999999,-56.92,632.29,237.23,-23.4,-304.9
2,8,2,51.4,3.0439279142999998,-138.04,845.29,-237.23,23.4,-638.51
2,8,1,51.4,-0.0989572584,-66.12,632.29,237.23,-23.4,-304.9
3,1,2,3.1,-2.129028,6.44,924.68,-178.94,-286.71,700.58
3,1,1,3.1,0.9145143,16.16,1786.09,197.04,256.09,1683.96
3,2,2,5.05,-2.12871285,10.48,924.68,-178.94,-286.71,700.58
3,2,1,5.05,0.9148514759999999,26.32,1786.09,197.04,256.09,1683.96
3,3,2,8.85,-2.128814496,18.36,924.68,-178.94,-286.71,700.58
3,3,1,8.85,0.914689668,46.12,1786.09,197.04,256.09,1683.96
3,4,2,12.25,-2.128570045,25.400000000000002,924.68,-178.94,-286.71,700.58
3,4,1,12.25,0.9146932830000001,63.84,1786.09,197.04,256.09,1683.96
3,5,2,29.9,-2.128461216,62.08,924.68,-178.94,-286.71,700.58
3,5,1,29.9,0.914699328,155.92000000000002,1786.09,197.04,256.09,1683.96
3,6,2,37.1,-2.1283449008,77.04,924.68,-178.94,-286.71,700.58
3,6,1,37.1,0.914609116,193.48000000000002,1786.09,197.04,256.09,1683.96
3,7,2,44.3,-2.1283376113999997,92.0,924.68,-178.94,-286.71,700.58
3,7,1,44.3,0.9144691009999999,231.12,1786.09,197.04,256.09,1683.96
3,8,2,51.4,-2.1282425346,106.8,924.68,-178.94,-286.71,700.58
3,8,1,51.4,0.9144285696,268.16,1786.09,197.04,256.09,1683.96
4,1,1,3.1,0.7822565,-1.32,615.9,235.12,233.8,-139.26
4,1,2,3.1,-2.4274145,-0.68,620.27,-270.96,-234.91,-78.29
4,2,1,5.05,0.78217821,-2.12,615.9,235.12,233.8,-139.26
4,2,2,5.05,-2.427722748,-1.12,620.27,-270.96,-234.91,-78.29
4,3,1,8.85,0.7824862199999999,-3.72,615.9,235.12,233.8,-139.26
4,3,2,8.85,-2.4271197119999997,-1.92,620.27,-270.96,-234.91,-78.29
4,4,1,12.25,0.782448471,-5.16,615.9,235.12,233.8,-139.26
4,4,2,12.25,-2.427345361,-2.68,620.27,-270.96,-234.91,-78.29
4,5,1,29.9,0.78233856,-12.56,615.9,235.12,233.8,-139.26
4,5,2,29.9,-2.427068928,-6.5200000000000005,620.27,-270.96,-234.91,-78.29
4,6,1,37.1,0.7822748912,-15.6,615.9,235.12,233.8,-139.26
4,6,2,37.1,-2.4271049928000004,-8.120000000000001,620.27,-270.96,-234.91,-78.29
4,7,1,44.3,0.7822298847999999,-18.64,615.9,235.12,233.8,-139.26
4,7,2,44.3,-2.4270462762,-9.68,620.27,-270.96,-234.91,-78.29
4,8,1,51.4,0.7821989174999999,-21.64,615.9,235.12,233.8,-139.26
4,8,2,51.4,-2.4269664509999997,-11.24,620.27,-270.96,-234.91,-78.29
5,1,1,3.1,-2.9209619,-6.76,596.0,-131.8,-29.68,-294.89
5,1,2,3.1,0.2209673,1.92,524.54,131.8,29.68,82.98
5,2,1,5.05,-2.9198019509999997,-11.040000000000001,596.0,-131.8,-29.68,-294.89
5,2,2,5.05,0.221782176,3.08,524.54,131.8,29.68,82.98
5,3,1,8.85,-2.920340268,-19.32,596.0,-131.8,-29.68,-294.89
5,3,2,8.85,0.221469024,5.44,524.54,131.8,29.68,82.98
5,4,1,12.25,-2.920406265,-26.76,596.0,-131.8,-29.68,-294.89
5,4,2,12.25,0.221632509,7.5200000000000005,524.54,131.8,29.68,82.98
5,5,1,29.9,-2.920806432,-65.36,596.0,-131.8,-29.68,-294.89
5,5,2,29.9,0.222193248,18.28,524.54,131.8,29.68,82.98
5,6,1,37.1,-2.9208839424,-81.16,596.0,-131.8,-29.68,-294.89
5,6,2,37.1,0.22232882920000002,22.64,524.54,131.8,29.68,82.98
5,7,1,44.3,-2.921082164,-96.92,596.0,-131.8,-29.68,-294.89
5,7,2,44.3,0.22249651059999997,26.96,524.54,131.8,29.68,82.98
5,8,1,51.4,-2.9212235598,-112.52,596.0,-131.8,-29.68,-294.89
5,8,2,51.4,0.2226538314,31.240000000000002,524.54,131.8,29.68,82.98
6,1,2,3.1,-0.3338703,6.32,738.34,226.25,-78.48,487.64
6,1,1,3.1,2.8080589,15.32,1308.57,-226.25,78.48,1185.33
6,2,2,5.05,-0.333663363,10.28,738.34,226.25,-78.48,487.64
6,2,1,5.05,2.807920764,25.0,1308.57,-226.25,78.48,1185.33
6,3,2,8.85,-0.33389845199999996,18.04,738.34,226.25,-78.48,487.64
6,3,1,8.85,2.8073458679999996,43.800000000000004,1308.57,-226.25,78.48,1185.33
6,4,2,12.25,-0.333877334,24.96,738.34,226.25,-78.48,487.64
6,4,1,12.25,2.807753277,60.64,1308.57,-226.25,78.48,1185.33
6,5,2,29.9,-0.333517296,61.08,738.34,226.25,-78.48,487.64
6,5,1,29.9,2.807321856,148.16,1308.57,-226.25,78.48,1185.33
6,6,2,37.1,-0.33340159960000004,75.8,738.34,226.25,-78.48,487.64
6,6,1,37.1,2.8072451344,183.92000000000002,1308.57,-226.25,78.48,1185.33
6,7,2,44.3,-0.33332264419999996,90.60000000000001,738.34,226.25,-78.48,487.64
6,7,1,44.3,2.8071860544,219.68,1308.57,-226.25,78.48,1185.33
6,8,2,51.4,-0.3332531202,105.2,738.34,226.25,-78.48,487.64
6,8,1,51.4,2.8070522844,254.96,1308.57,-226.25,78.48,1185.33
7,1,1,3.1,-0.9112885000000001,0.24,648.52,252.65,-325.39,29.32
7,1,2,3.1,2.2306407,2.92,754.81,-252.65,325.39,387.33
7,2,1,5.05,-0.91089108,0.36,648.52,252.65,-325.39,29.32
7,2,2,5.05,2.230693047,4.76,754.81,-252.65,325.39,387.33
7,3,1,8.85,-0.9107348639999999,0.64,648.52,252.65,-325.39,29.32
7,3,2,8.85,2.231074428,8.32,754.81,-252.65,325.39,387.33
7,4,1,12.25,-0.910611653,0.88,648.52,252.65,-325.39,29.32
7,4,2,12.25,2.231018958,11.52,754.81,-252.65,325.39,387.33
7,5,1,29.9,-0.9108331199999999,2.12,648.52,252.65,-325.39,29.32
7,5,2,29.9,2.231256864,28.12,754.81,-252.65,325.39,387.33
7,6,1,37.1,-0.9108517038,2.64,648.52,252.65,-325.39,29.32
7,6,2,37.1,2.2312613374000003,34.88,754.81,-252.65,325.39,387.33
7,7,1,44.3,-0.9109386286,3.16,648.52,252.65,-325.39,29.32
7,7,2,44.3,2.2313353061999996,41.68,754.81,-252.65,325.39,387.33
7,8,1,51.4,-0.9109227309,3.68,648.52,252.65,-325.39,29.32
7,8,2,51.4,2.2313671107,48.36,754.81,-252.65,325.39,387.33
8,1,2,3.1,-3.1112841,0.28,841.95,-674.46,-20.82,59.57
8,1,1,3.1,0.0306451,3.16,1084.87,674.46,20.82,686.73
8,2,2,5.05,-3.110891058,0.44,841.95,-674.46,-20.82,59.57
8,2,1,5.05,0.030693068999999996,5.12,1084.87,674.46,20.82,686.73
8,3,2,8.85,-3.1107358319999996,0.8,841.95,-674.46,-20.82,59.57
8,3,1,8.85,0.031073459999999997,9.0,1084.87,674.46,20.82,686.73
