E,px,py,pz
1065.86,251.9,415.46,806.22
632.29,237.23,-23.4,-304.9
1786.09,197.04,256.09,1683.96
615.9,235.12,233.8,-139.26
596.0,-131.8,-29.68,-294.89
1308.57,-226.25,78.48,1185.33
648.52,252.65,-325.39,29.32
1084.87,674.46,20.82,686.73
743.81,-244.3,488.86,-67.68
739.63,471.42,-103.53,-253.17
701.6,-332.2,245.57,267.54
574.89,-33.29,-267.9,87.3
568.28,-170.9,5.33,209.07
775.24,-192.03,471.47,-303.05
558.4,-60.39,191.01,-147.24
878.62,117.73,-94.16,706.58
539.28,-42.33,-193.16,-41.41
829.56,-407.16,-466.93,-233.19
1752.41,-50.04,184.44,1668.66
566.68,-186.18,154.48,112.25
1005.36,-185.63,768.07,369.27
1415.26,-233.23,-47.79,-1302.41
1031.31,-168.83,-93.09,881.16
1287.71,37.7,-262.06,1156.76
733.03,-142.3,-38.05,-515.4
816.15,65.3,-429.93,476.44
691.11,99.28,-34.42,-465.4
734.9,-405.63,-155.02,318.62
716.12,-222.92,244.79,391.43
1846.59,22.01,245.34,-1760.46
692.06,-2.36,210.11,-429.88
556.85,215.45,107.49,-45.96
946.05,-338.49,415.7,-598.03
610.27,-181.81,75.29,289.31
592.73,-272.61,66.14,150.46
906.77,-171.07,-415.48,608.56
1752.86,-54.96,-99.2,1676.2
993.8,-196.5,207.25,-809.99
1318.86,318.11,-254.08,-1150.49
829.31,-271.43,22.72,-602.97
603.75,-121.55,-123.54,-290.65
860.31,-622.44,319.01,-30.59
1212.25,151.59,199.98,-1075.45
565.91,208.24,156.39,-49.26
653.83,-57.45,-5.75,417.32
766.06,375.51,366.6,247.88
676.13,-20.8,449.8,66.33
658.91,40.8,-310.0,293.92
757.98,-182.44,267.2,468.88
568.72,44.97,221.13,150.06
539.94,-190.13,-53.49,50.25
884.11,346.13,569.21,296.37
1535.77,-153.74,-359.74,-1398.4
748.64,53.08,198.8,-517.81
1119.07,-100.27,-170.21,981.47
666.85,391.76,-42.24,-198.56
1226.57,-427.3,-982.35,326.91
743.55,3.83,491.97,-246.61
1023.62,-2.53,-217.37,-866.34
772.19,-262.86,-69.92,-521.82
1381.64,-451.43,-370.39,-1148.03
1068.92,640.09,-303.37,-625.17
689.29,27.35,-356.67,311.71
1353.32,220.6,374.91,1179.94
698.57,61.03,-190.16,445.11
565.95,59.21,104.85,-236.22
547.84,-49.67,-131.55,174.24
1076.42,137.54,138.78,-933.01
583.56,-218.32,-15.44,-206.51
592.73,-22.32,-233.47,215.21
1200.0,-247.13,116.27,1056.12
1004.48,-127.52,99.84,856.01
597.2,-150.14,-284.95,53.94
1177.53,-25.54,111.95,1059.9
833.44,-659.5,-75.37,-63.32
957.98,-425.97,-13.43,697.2
880.91,673.8,104.08,247.32
1696.11,139.04,-186.69,1603.93
707.57,-250.17,54.49,430.24
615.15,-155.26,294.89,-131.7
880.77,-305.6,-223.03,618.56
643.47,-287.97,-267.16,-98.74
960.79,296.64,1.98,-764.93
619.54,-290.06,218.01,46.5
1187.56,-371.67,314.5,-960.86
956.5,-207.28,244.78,749.67
619.42,119.63,-191.56,-287.54
588.43,142.04,-40.38,-272.84
616.47,39.92,-305.48,-187.41
722.11,-101.46,96.43,501.85
577.14,-287.45,2.54,21.51
649.88,159.52,318.44,213.28
2886.73,393.22,414.2,-2785.14
1612.11,-76.66,-136.09,-1524.63
1207.87,917.93,-114.99,-594.25
770.07,-112.44,331.59,469.48
1024.27,393.87,-140.0,790.18
923.01,-13.03,-399.98,664.67
922.06,-38.88,-223.59,-740.74
1352.9,-348.34,221.68,1187.38
692.79,-233.91,-262.44,326.15
681.38,-156.28,-312.57,303.57
625.75,78.64,-40.0,-365.76
752.35,-38.65,84.95,554.37
560.15,-174.87,-63.73,-170.67
1069.33,-115.52,673.48,-653.11
742.43,-266.66,229.41,421.27
745.93,-28.91,-333.47,440.88
1016.29,-105.45,-524.85,704.45
726.43,-109.13,-416.44,-303.93
1725.56,-337.58,97.34,-1613.73
811.94,89.76,428.52,-466.43
744.79,-54.65,-53.68,-546.66
1134.01,43.97,152.58,1005.36
583.9,-31.15,79.02,-289.35
1034.81,-137.8,-395.73,-803.28
968.35,334.83,405.5,-641.23
1202.85,-89.23,298.07,1048.83
509.59,-69.1,68.9,-12.68
1008.11,329.0,41.24,-810.15
1164.24,42.28,12.2,1050.49
692.42,375.96,210.85,-208.92
833.73,194.28,-323.46,-550.21
582.4,249.76,69.68,148.18
1244.42,-199.46,214.22,1101.32
610.21,304.36,-42.05,167.19
1074.95,263.22,400.3,-822.18
726.33,-461.89,-117.91,224.31
507.42,-41.48,-68.32,33.0
1529.96,63.02,419.97,1382.18
2114.65,1317.14,-28.38,-1576.73
1106.13,-64.02,-794.91,-580.98
793.75,-403.21,-205.54,418.58
997.58,294.36,393.91,709.48
777.61,-200.66,244.96,504.38
1568.13,-301.19,200.13,-1441.62
1081.44,-455.85,144.64,831.13
690.44,-48.47,127.57,-456.17
516.63,68.43,-63.71,-90.34
925.29,389.84,-419.57,527.39
632.37,-323.24,-56.92,-205.34
596.91,-194.66,-38.39,258.73
2654.63,-107.07,80.31,-2603.68
1037.95,275.97,-224.26,837.2
657.72,123.66,-175.6,369.42
960.95,59.89,-60.9,816.16
843.41,-28.58,-69.29,-675.07
789.56,-205.12,-45.82,573.78
1417.76,330.76,32.03,1284.37
615.14,217.94,268.39,-94.16
592.34,179.85,-11.95,261.49
960.74,-45.8,397.61,716.12
2273.79,133.01,5.59,2214.14
577.98,62.89,-195.06,-205.06
1048.02,-47.84,322.55,861.4
529.95,159.62,64.42,-34.98
1442.79,-235.32,257.46,1307.66
569.55,-173.44,192.52,85.11
672.92,-221.08,-50.8,389.06
696.14,-408.7,-129.93,-225.16
920.25,73.6,111.43,760.94
547.06,-47.26,-127.8,-175.25
703.2,115.62,248.35,411.64
741.25,-537.4,-92.59,45.54
2823.54,436.08,-371.23,2719.27
1016.47,-224.52,-17.16,-855.86
504.68,10.2,-44.29,51.36
705.02,314.03,-141.28,358.43
634.01,-148.74,9.67,-360.21
735.7,-133.05,-464.67,-240.07
1014.67,-92.53,244.05,-843.47
738.75,-84.59,-369.84,389.64
640.32,-6.29,399.49,-19.63
952.05,329.13,346.34,-654.31
670.72,-389.88,73.53,206.02
1395.84,277.01,7.3,-1273.41
982.74,73.74,-373.16,-755.7
1733.75,-353.32,402.96,1571.2
511.88,-15.49,-42.13,-100.01
789.81,-401.83,-457.02,-58.87
675.38,32.53,190.81,410.69
1340.93,57.96,-564.29,1107.39
655.06,-359.63,-174.16,-139.4
649.65,-366.11,143.82,131.61
1564.0,-1326.45,543.99,-375.1
501.46,17.11,-7.3,33.46
537.6,-87.86,-107.37,140.6
727.02,-353.18,308.24,-242.51
642.82,130.32,-197.08,327.7
516.27,36.96,-119.47,-29.96
528.51,123.98,-74.28,91.81
1589.11,456.25,574.52,-1317.96
734.45,-124.72,468.48,233.21
659.2,338.45,-116.02,237.78
1164.15,860.94,-585.9,-143.97
551.47,-226.43,15.85,50.99
981.61,-548.24,-265.2,585.37
852.66,147.93,70.66,-670.93
681.79,320.61,-14.47,-334.43
1019.15,-351.78,-0.65,-815.43
1220.78,-561.42,57.78,-960.1
711.05,-264.2,18.51,-430.64
683.78,-121.54,-66.59,-445.36
1042.73,266.44,141.61,-863.86
623.63,102.34,356.14,40.07
547.93,-159.93,-25.15,-154.98
646.89,-331.53,9.16,241.8
1029.88,-202.79,178.98,858.78
1358.69,-320.23,-102.37,1217.79
1023.71,-182.42,-12.82,874.39
664.48,-383.93,-87.43,-191.02
778.5,-163.33,197.01,-539.04
3294.39,1019.54,536.95,3045.52
703.0,-412.2,114.67,247.29
945.71,525.03,-81.87,601.67
1598.71,731.57,541.87,1215.33
979.78,287.66,200.7,766.13
624.52,-318.1,89.4,175.64
556.54,-182.33,153.61,53.85
785.52,-323.25,-208.6,468.01
645.72,55.97,115.2,-388.0
663.86,-143.6,314.65,-266.63
752.15,-513.55,96.56,206.58
986.27,-74.38,249.26,-809.36
949.19,345.51,333.71,648.24
683.29,-437.11,-160.46,-9.11
508.08,-89.35,-4.54,11.98
744.46,61.63,-334.93,433.87
795.39,93.82,55.47,608.91
1643.3,-654.25,665.84,1256.61
563.37,163.84,-64.28,190.81
736.67,61.74,-248.4,476.63
1473.23,96.41,209.63,1366.45
995.57,632.05,243.55,-531.38
621.76,314.34,-190.32,-39.39
1146.13,244.52,-157.98,989.38
805.69,-57.42,-134.61,614.59
1892.23,207.47,2.29,1813.14
547.74,-21.12,11.81,-222.33
829.8,-272.5,-510.62,-321.83
568.0,-48.08,254.33,-75.0
710.23,223.62,-137.59,430.69
729.07,-95.03,123.35,507.25
868.12,65.54,56.17,704.4
1287.68,-87.43,152.14,1173.6
604.0,234.67,27.3,-242.91
529.03,16.47,49.6,-164.75
605.83,-8.47,-333.2,77.05
545.55,162.19,102.6,103.89
1334.91,-260.01,-283.61,-1176.42
