E,px,py,pz
1036.55,-251.9,-415.46,767.05
845.29,-237.23,23.4,-638.51
924.68,-178.94,-286.71,700.58
620.27,-270.96,-234.91,-78.29
524.54,131.8,29.68,82.98
738.34,226.25,-78.48,487.64
754.81,-252.65,325.39,387.33
841.95,-674.46,-20.82,59.57
753.19,244.3,-488.86,-136.49
706.72,-442.25,82.33,-217.01
764.84,332.2,-245.57,405.37
582.78,33.29,267.9,-129.45
608.09,170.9,-5.33,300.89
1277.45,104.12,-321.98,-1125.78
706.24,-122.59,-234.28,-422.91
751.64,-117.73,94.16,540.6
707.44,1.82,-24.81,-499.85
874.98,407.16,466.93,363.02
854.74,-21.52,-168.94,671.99
676.12,198.55,-210.16,351.49
1809.83,192.49,-825.24,-1519.01
1260.35,233.23,47.79,-1132.17
1040.68,168.83,93.09,892.1
1437.31,-37.7,262.06,1321.27
932.09,142.3,38.05,772.71
722.97,-34.09,439.89,279.32
868.78,-99.28,34.42,702.67
1246.03,405.63,155.02,1055.48
1059.05,222.92,-244.79,872.91
638.3,-22.01,-245.34,-311.05
751.33,-418.1,-149.97,-342.33
572.66,-169.7,-130.03,-179.56
1482.61,368.22,-433.89,1274.48
628.02,181.81,-75.29,325.1
868.55,272.61,-66.14,652.45
1527.38,171.07,415.48,1371.5
948.38,54.96,99.2,797.85
578.8,196.5,-207.25,-58.67
651.35,-318.11,254.08,92.17
1434.63,299.27,12.05,-1310.9
910.49,-23.04,121.95,-750.72
954.3,622.44,-319.01,414.11
2706.15,-118.33,-215.23,-2648.19
642.92,-208.24,-156.39,309.07
1754.32,57.45,5.75,1680.56
867.02,-375.51,-366.6,475.73
649.19,-71.84,-406.59,31.16
1139.36,-40.8,310.0,974.87
672.07,182.44,-267.2,-311.45
598.85,-5.45,-204.63,-258.29
577.73,191.64,123.39,178.39
1140.35,-352.78,-607.72,746.06
700.59,153.74,359.74,-296.26
660.35,-53.08,-198.8,379.11
747.88,67.37,191.01,517.97
787.7,-383.96,-30.87,-471.26
1269.93,454.15,968.69,-467.02
789.14,23.26,-508.2,-337.54
701.36,80.71,183.85,-448.99
577.92,262.86,69.92,-100.02
907.71,466.73,405.31,-437.98
1733.76,-640.09,303.37,-1501.4
1138.43,-27.35,356.67,958.16
1275.86,-220.6,-374.91,1090.23
910.9,-61.03,190.16,734.74
1371.01,195.14,-15.41,-1261.49
1030.44,81.05,116.96,889.7
958.98,-169.08,-131.56,-789.77
1759.32,331.83,110.58,-1650.11
640.39,28.99,201.93,-344.22
574.78,247.13,-116.27,-75.99
1182.41,127.52,-99.84,1059.18
855.5,150.14,284.95,614.94
757.97,25.54,-111.95,557.98
847.27,659.5,75.37,165.07
1009.38,425.97,13.43,766.29
853.69,-673.8,-104.08,118.12
1217.74,-139.04,186.69,1085.69
801.85,212.73,-102.98,-580.61
1666.08,155.26,-294.89,1553.94
606.6,305.02,156.22,22.9
704.1,295.55,297.27,264.64
1366.42,-261.5,-13.71,-1244.4
765.06,290.06,-218.01,-451.29
725.11,371.67,-314.5,196.82
1488.08,207.28,-244.78,1364.37
601.65,-173.12,285.02,27.86
1006.22,-154.3,9.69,-859.4
605.09,-39.92,305.48,-145.68
779.73,101.46,-96.43,581.71
1266.87,287.45,-2.54,1127.98
616.7,-159.52,-318.44,-58.95
1616.15,-393.22,-414.2,-1426.79
1049.32,124.71,83.2,-910.27
993.4,-705.91,371.74,-316.78
655.21,112.44,-331.59,238.13
918.09,-393.87,140.0,646.66
1005.16,-56.92,386.38,779.63
623.21,38.88,223.59,-294.77
762.33,155.94,-80.57,548.02
851.31,233.91,262.44,592.57
859.84,156.28,312.57,-605.97
520.66,-91.35,-47.25,102.53
511.26,7.64,-72.09,-78.29
1114.46,321.38,44.74,-941.66
849.46,115.52,-673.48,68.27
612.33,266.66,-229.41,-34.74
601.69,28.91,333.47,0.32
763.2,105.45,524.85,214.21
735.83,109.13,416.44,325.75
1173.81,323.8,-27.1,-1011.07
758.39,-89.76,-428.52,365.33
514.97,116.15,41.03,-4.93
1500.77,172.28,-219.66,1387.22
532.96,31.15,-79.02,163.81
1618.39,80.16,367.42,-1492.57
2912.25,-365.32,-393.18,-2818.36
951.7,104.8,-327.78,733.02
573.28,38.08,-36.5,275.44
613.66,-329.0,-41.24,-128.96
625.28,-42.28,-12.2,372.88
780.53,-375.96,-210.85,416.45
761.17,-194.28,323.46,432.44
1035.17,-249.76,-69.68,868.53
918.35,199.46,-214.22,712.52
587.46,-304.36,42.05,26.47
770.39,-256.84,-441.5,-287.41
635.99,389.88,23.44,43.93
509.66,41.48,68.32,-58.01
1831.52,-63.02,-419.97,1710.0
1801.82,-1483.36,-30.64,-891.77
946.98,64.02,794.91,103.92
1699.76,403.21,205.54,1560.25
2323.74,-268.53,-433.15,2211.34
2516.47,200.66,-244.96,2445.89
969.86,274.78,-180.17,-763.33
2173.19,455.85,-144.64,2060.11
647.9,48.47,-127.57,-388.78
538.85,-176.74,88.9,34.98
878.11,-424.55,484.73,325.36
1338.94,333.34,91.25,-1193.03
634.16,255.94,143.74,256.89
1199.2,72.76,-55.64,-1086.14
1544.64,-287.64,181.22,1421.38
1680.02,-123.66,175.6,1589.45
1339.0,-59.89,60.9,1239.2
723.09,28.58,69.29,516.95
1023.59,-107.22,-352.99,813.41
1361.97,-330.76,-32.03,1222.51
1507.16,-297.52,-80.72,-1387.98
987.59,-179.85,11.95,832.37
761.56,-31.96,-402.8,408.3
1773.96,-133.01,-5.59,1696.82
