EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
4,1,1,3.1,0.7822565,-1.32,615.9,235.12,233.8,-139.26
4,1,2,3.1,-2.4274145,-0.68,620.27,-270.96,-234.91,-78.29
4,2,1,5.05,0.78217821,-2.12,615.9,235.12,233.8,-139.26
4,2,2,5.05,-2.427722748,-1.12,620.27,-270.96,-234.91,-78.29
4,3,1,8.85,0.7824862199999999,-3.72,615.9,235.12,233.8,-139.26
4,3,2,8.85,-2.4271197119999997,-1.92,620.27,-270.96,-234.91,-78.29
4,4,1,12.25,0.782448471,-5.16,615.9,235.12,233.8,-139.26
4,4,2,12.25,-2.427345361,-2.68,620.27,-270.96,-234.91,-78.29
4,5,1,29.9,0.78233856,-12.56,615.9,235.12,233.8,-139.26
4,5,2,29.9,-2.427068928,-6.5200000000000005,620.27,-270.96,-234.91,-78.29
4,6,1,37.1,0.7822748912,-15.6,615.9,235.12,233.8,-139.26
4,6,2,37.1,-2.4271049928000004,-8.120000000000001,620.27,-270.96,-234.91,-78.29
4,7,1,44.3,0.7822298847999999,-18.64,615.9,235.12,233.8,-139.26
4,7,2,44.3,-2.4270462762,-9.68,620.27,-270.96,-234.91,-78.29
4,8,1,51.4,0.7821989174999999,-21.64,615.9,235.12,233.8,-139.26
4,8,2,51.4,-2.4269664509999997,-11.24,620.27,-270.96,-234.91,-78.29
5,1,1,3.1,-2.9209619,-6.76,596,-131.8,-29.68,-294.89
5,1,2,3.1,0.2209673,1.92,524.54,131.8,29.68,82.98
5,2,1,5.05,-2.9198019509999997,-11.040000000000001,596,-131.8,-29.68,-294.89
5,2,2,5.05,0.221782176,3.08,524.54,131.8,29.68,82.98
5,3,1,8.85,-2.920340268,-19.32,596,-131.8,-29.68,-294.89
5,3,2,8.85,0.221469024,5.44,524.54,131.8,29.68,82.98
5,4,1,12.25,-2.920406265,-26.76,596,-131.8,-29.68,-294.89
5,4,2,12.25,0.221632509,7.5200000000000005,524.54,131.8,29.68,82.98
5,5,1,29.9,-2.920806432,-65.36,596,-131.8,-29.68,-294.89
5,5,2,29.9,0.222193248,18.240000000000002,524.54,131.8,29.68,82.98
5,6,1,37.1,-2.9208839424,-81.16,596,-131.8,-29.68,-294.89
5,6,2,37.1,0.22232882920000002,22.64,524.54,131.8,29.68,82.98
5,7,1,44.3,-2.921082164,-96.92,596,-131.8,-29.68,-294.89
5,7,2,44.3,0.22249651059999997,26.96,524.54,131.8,29.68,82.98
5,8,1,51.4,-2.9212235598,-112.52,596,-131.8,-29.68,-294.89
5,8,2,51.4,0.2226538314,31.240000000000002,524.54,131.8,29.68,82.98
7,1,1,3.1,-0.9112885000000001,0.24,648.52,252.65,-325.39,29.32
